City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
540,hobyo,SO,78.21,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
541,amalapuram,IN,84.58,overcast clouds,16.5833,82.0167,swayamprabha service apartments
543,darlawn,IN,76.6,overcast clouds,24.0167,92.9,BNRGSK BUILDING
544,lander,US,70.2,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
546,bowen,AU,75.42,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
549,guatire,VE,77.5,scattered clouds,10.4762,-66.5427,Parque Residencial Canaima I
552,hervey bay,AU,71.71,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
553,manicore,BR,78.06,overcast clouds,-5.8092,-61.3003,Hotel Durval
559,emba,KZ,76.3,overcast clouds,48.8264,58.1442,
560,mancio lima,BR,71.67,scattered clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
562,makiwalo,PH,83.37,overcast clouds,12.5101,124.706,MIKOMIKO resort
566,blagodatnoye,RU,70.61,few clouds,45.3997,42.5867,
567,puerto leguizamo,CO,71.24,broken clouds,-0.1934,-74.7819,la casona de juancho
568,longkou,CN,79.95,light rain,37.6508,120.3286,Pai Hotel Yantai Longkou City Heping Road
570,jawhar,SO,75.36,scattered clouds,2.7809,45.5005,cosoble spare parts
572,porto novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
573,morehead,US,78.51,clear sky,37.2711,-87.1764,CCI Express Inn
574,korla,CN,82.65,scattered clouds,41.7597,86.1469,Gulisitan Hotel
577,suining,CN,74.98,overcast clouds,30.508000000000003,105.5733,IU Hotel Suining Guangfu Building Walking Street
580,kudahuvadhoo,MV,83.17,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
585,dongsheng,CN,78.49,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
589,noshiro,JP,77.94,overcast clouds,40.2039,140.0242,Azuma Ryokan
594,bacolod,PH,82.94,moderate rain,10.6667,122.95,Planta Hotel & Residences
597,pasaco,GT,76.21,overcast clouds,13.9772,-90.2064,Casa Fina
601,tahta,EG,82.72,clear sky,26.7693,31.5021,El Salam Hotel
605,cockburn town,TC,80.37,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
608,waycross,US,75.9,scattered clouds,31.2136,-82.354,Super 8 by Wyndham Waycross GA
609,san patricio,US,82.85,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
611,mareeba,AU,78.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
612,coruripe,BR,72.77,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
615,pitimbu,BR,72.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
616,basmat,IN,80.47,broken clouds,19.3167,77.1667,Sai Hotal
617,kuju,IN,81.34,overcast clouds,23.7167,85.5,Muskan Hotel
618,areosa,PT,72.09,clear sky,41.7178,-8.8571,Hotel Flôr de Sal
619,tual,ID,81.32,broken clouds,-5.6667,132.75,Grand Vilia Hotel
620,la romana,DO,76.73,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
621,ouadda,CF,70.14,overcast clouds,8.0777,22.4007,
624,quatre cocos,MU,75.31,overcast clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
627,takeo,KH,78.94,light rain,10.9167,104.8333,វីឡាត្រាសមី(TrustMe Villa)
629,mumford,GH,78.03,light rain,5.2618,-0.759,Spanish Villa
630,wajid,SO,70.74,scattered clouds,3.8093,43.2471,xamdihotelresturant114
634,awbari,LY,73.31,clear sky,26.5921,12.7805,فندق أوباري
637,port-gentil,GA,78.28,light rain,-0.7193,8.7815,Fengshui Residence
641,tucuma,BR,72.37,overcast clouds,-0.1833,-50.05,
642,numata,JP,79.5,scattered clouds,36.6333,139.05,Hotel Bella-Vita
643,manuk mangkaw,PH,83.68,overcast clouds,4.8,119.85,
645,omboue,GA,75.72,overcast clouds,-1.5746,9.2618,Hotel Olako
649,sal rei,CV,73.96,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
652,olinda,BR,73.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
662,lashio,MM,70.48,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
663,baft,IR,82.6,clear sky,29.234,56.6057,بافت خیابان طالقانی غربی ساختمان مادر
671,puerto madero,MX,80.8,broken clouds,14.7208,-92.4215,Hotel La Central
673,nuevo progreso,MX,82.6,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
683,golden gate,US,83.98,few clouds,26.1879,-81.6951,Quality Inn & Suites Golf Resort
685,anloga,GH,75.42,overcast clouds,5.7947,0.8973,Pin Drop Hotel
687,bandarbeyla,SO,81.64,broken clouds,9.4942,50.8122,JABIR HOTEL
689,maumere,ID,82.54,few clouds,-8.6199,122.2111,Sylvia Hotel
691,riohacha,CO,80.17,clear sky,11.5444,-72.9072,Hotel Taroa
692,koulikoro,ML,84.38,broken clouds,14.0,-7.75,
697,ipixuna,BR,76.95,very heavy rain,-1.7625,-48.8043,Casa da Oscarina
699,kununurra,AU,80.58,few clouds,-15.7667,128.7333,Hotel Kununurra
704,saint anthony,US,80.53,broken clouds,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
709,caravelas,BR,72.46,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
710,porterville,US,79.88,clear sky,36.0652,-119.0168,"Holiday Inn Express & Suites Porterville, an IHG Hotel"
