City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
234,Lata,PT,2021-06-11 20:40:51,40.1629,-8.3327,69.04,71,100,5.08
235,Hudson Bay,CA,2021-06-11 20:40:52,52.85,-102.3842,52.39,98,100,7.83
236,Luwuk,ID,2021-06-11 20:40:53,-0.9516,122.7875,77.43,81,17,3.65
237,Lasa,IT,2021-06-11 20:38:02,46.6166,10.7002,67.08,93,33,5.66
238,Darab,IR,2021-06-11 20:40:53,28.7519,54.5444,86.79,16,1,1.43
239,Suzun,RU,2021-06-11 20:40:54,53.7841,82.3116,45.95,70,96,7.2
240,Ambilobe,MG,2021-06-11 20:40:54,-13.2,49.05,69.49,86,11,1.83
241,Suntar,RU,2021-06-11 20:40:55,62.1444,117.6319,44.8,62,27,4.56
242,Chokurdakh,RU,2021-06-11 20:40:55,70.6333,147.9167,54.37,44,16,11.45
243,Mizdah,LY,2021-06-11 20:40:56,31.4451,12.9801,69.44,50,0,8.14
244,Talara,PE,2021-06-11 20:40:56,-4.5772,-81.2719,77.76,61,0,16.11
245,Vestmannaeyjar,IS,2021-06-11 20:38:30,63.4427,-20.2734,47.39,57,20,26.46
246,Lakatoro,VU,2021-06-11 20:40:57,-16.0999,167.4164,78.96,71,65,14.67
247,College,US,2021-06-11 20:40:57,64.8569,-147.8028,65.59,57,75,6.91
248,Beaufort,MY,2021-06-11 20:40:58,5.3473,115.7455,77.16,93,100,4.14
249,Celestun,MX,2021-06-11 20:37:02,20.8667,-90.4,82.8,73,93,11.36
250,Caravelas,BR,2021-06-11 20:40:58,-17.7125,-39.2481,73.9,81,96,6.44
251,Faanui,PF,2021-06-11 20:40:59,-16.4833,-151.75,74.28,91,100,17.02
252,Port Hardy,CA,2021-06-11 20:40:59,50.6996,-127.4199,55.58,76,90,14.97
253,Northam,GB,2021-06-11 20:41:00,51.0333,-4.2167,63.01,96,73,7.78
254,Kavieng,PG,2021-06-11 20:41:00,-2.5744,150.7967,81.81,80,29,14.56
255,Olafsvik,IS,2021-06-11 20:38:29,64.8945,-23.7142,41.31,57,65,20.04
256,Kenitra,MA,2021-06-11 20:41:01,34.261,-6.5802,68.76,90,0,7.47
257,Ayna,PE,2021-06-11 20:41:02,-12.65,-73.9167,79.3,75,60,3.69
258,Yemelyanovo,RU,2021-06-11 20:41:02,56.1681,92.6767,34.61,93,0,2.24
259,Tautira,PF,2021-06-11 20:41:03,-17.7333,-149.15,78.82,82,100,12.3
260,Hovd,MN,2021-06-11 20:41:03,48.0056,91.6419,53.69,76,17,2.08
261,Margate,GB,2021-06-11 20:41:04,51.3813,1.3862,69.04,78,95,1.99
262,Bahia Blanca,AR,2021-06-11 20:38:44,-38.7196,-62.2724,60.01,54,48,8.7
263,Murray Bridge,AU,2021-06-11 20:41:05,-35.1167,139.2667,55.56,80,38,6.42
