City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,ukiah,US,39.1502,-123.2078,64.65,81,90,3.44,overcast clouds
230,nouadhibou,MR,20.931,-17.0347,68.54,79,44,4.14,scattered clouds
231,altamira,BR,-3.2033,-52.2064,71.51,98,99,1.81,overcast clouds
232,thomasville,US,35.8826,-80.082,74.21,90,66,3.29,broken clouds
233,archidona,ES,37.0965,-4.3887,65.95,56,1,3.09,clear sky
234,new norfolk,AU,-42.7826,147.0587,58.57,83,100,1.01,overcast clouds
235,anta,IN,25.15,76.3,93.49,39,0,13.82,clear sky
236,chuy,UY,-33.6971,-53.4616,44.85,78,83,8.25,broken clouds
237,massaguet,TD,12.4755,15.4365,78.84,37,91,10.45,overcast clouds
238,iranshahr,IR,27.2025,60.6848,95.34,23,0,6.91,clear sky
239,isangel,VU,-19.55,169.2667,77.11,78,75,0.0,broken clouds
240,codrington,AU,-38.2667,141.9667,58.64,69,36,11.05,scattered clouds
241,sola,VU,-13.8833,167.55,83.07,70,75,0.0,broken clouds
242,vorukh,TJ,39.8494,70.5838,71.29,47,38,3.04,scattered clouds
243,cabras,IT,39.93,8.5314,64.69,74,83,3.04,broken clouds
244,bathsheba,BB,13.2167,-59.5167,81.21,65,40,16.11,scattered clouds
245,kargopol,RU,61.5071,38.9456,63.84,55,44,5.12,scattered clouds
246,voyvozh,RU,62.892,54.9635,69.98,33,35,5.48,scattered clouds
247,koungou,YT,-12.7336,45.2042,78.51,73,75,17.27,broken clouds
248,hirara,JP,24.8,125.2833,88.07,74,75,10.36,broken clouds
249,phan thiet,VN,10.9333,108.1,79.38,75,100,17.65,overcast clouds
250,marsh harbour,BS,26.5412,-77.0636,79.45,75,56,11.88,broken clouds
251,padang,ID,-0.9492,100.3543,85.28,57,59,4.09,broken clouds
252,inhambane,MZ,-23.865,35.3833,60.78,100,20,0.0,few clouds
253,tougue,GN,11.4667,-11.6,68.88,83,92,0.69,light rain
254,durban,ZA,-29.8579,31.0292,60.93,80,0,5.01,clear sky
255,bengkulu,ID,-3.8004,102.2655,83.82,65,42,4.88,scattered clouds
256,baiersbronn,DE,48.5,8.3833,59.43,86,98,2.57,overcast clouds
257,sao joao da barra,BR,-21.6403,-41.0511,70.23,86,100,17.45,overcast clouds
258,mahina,PF,-17.5065,-149.489,78.57,83,75,3.44,broken clouds
259,acapulco,MX,16.8634,-99.8901,80.47,79,100,2.33,overcast clouds
260,yar-sale,RU,66.8333,70.8333,63.27,56,100,16.75,overcast clouds
261,clyde river,CA,70.4692,-68.5914,37.63,81,1,10.36,clear sky
262,naushki,RU,50.3828,106.1056,65.75,43,91,3.06,overcast clouds
263,juneau,US,58.3019,-134.4197,59.05,90,75,5.01,broken clouds
264,abu dhabi,AE,24.4667,54.3667,87.91,79,40,2.3,scattered clouds
265,lavrentiya,RU,65.5833,-171.0,36.77,97,100,6.26,light rain
266,talnakh,RU,69.4865,88.3972,34.34,100,100,4.74,light rain
267,miramar,US,25.9873,-80.2323,83.01,79,1,8.05,clear sky
268,hasaki,JP,35.7333,140.8333,86.29,67,98,12.17,overcast clouds
269,bom jardim,BR,-7.7958,-35.5872,71.94,96,57,3.27,broken clouds
270,touros,BR,-5.1989,-35.4608,72.5,88,95,10.6,overcast clouds
271,laem sing,TH,12.4816,102.0738,84.54,77,100,12.82,overcast clouds
272,hay river,CA,60.8156,-115.7999,57.18,82,75,6.91,broken clouds
273,shenjiamen,CN,29.9576,122.298,76.69,87,81,5.66,broken clouds
274,salima,MW,-13.7804,34.4587,60.39,68,0,4.45,clear sky
275,sinegorye,RU,62.0788,150.477,62.24,29,14,5.77,few clouds
276,sao felix do xingu,BR,-6.6447,-51.995,71.35,68,86,0.92,overcast clouds
277,kimbe,PG,-5.5502,150.1429,83.53,76,37,3.18,light rain
278,airai,TL,-8.9266,125.4092,71.89,63,68,2.44,broken clouds
279,hambantota,LK,6.1241,81.1185,86.34,79,20,11.5,few clouds
280,mansa,IN,29.9833,75.3833,102.25,27,0,7.36,clear sky
281,port elizabeth,ZA,-33.918,25.5701,55.69,71,0,2.3,clear sky
282,rawson,AR,-43.3002,-65.1023,60.3,57,93,22.86,overcast clouds
283,lasa,IT,46.6166,10.7002,58.08,85,70,4.36,broken clouds
284,emerald,AU,-23.5333,148.1667,73.54,18,0,5.75,clear sky
285,ribeira grande,PT,38.5167,-28.7,67.05,88,67,2.89,broken clouds
286,kilindoni,TZ,-7.9139,39.6668,77.95,67,4,17.47,light rain
287,guerrero negro,MX,27.9769,-114.0611,62.24,82,5,18.32,clear sky
288,seoul,KR,37.5683,126.9778,86.41,61,0,6.91,clear sky
289,bima,ID,-8.4667,118.7167,92.68,46,6,1.97,clear sky
290,auki,SB,-8.7676,160.7034,84.94,61,51,2.42,broken clouds
291,west bay,KY,19.3667,-81.4167,82.0,87,20,1.01,few clouds
292,bethel,US,41.3712,-73.414,64.49,77,90,3.44,overcast clouds
293,sao filipe,CV,14.8961,-24.4956,73.27,84,60,2.89,broken clouds
294,srednekolymsk,RU,67.45,153.6833,60.94,33,3,8.23,clear sky
295,yeppoon,AU,-23.1333,150.7333,73.18,42,1,5.91,clear sky
296,baghdad,IQ,33.3406,44.4009,78.71,36,0,16.11,clear sky
297,depew,US,42.904,-78.6923,69.84,72,90,1.01,overcast clouds
298,aripuana,BR,-9.1667,-60.6333,74.55,65,77,2.8,broken clouds
299,parabel,RU,58.6978,81.4825,55.99,64,79,8.63,broken clouds
300,araouane,ML,18.9048,-3.5265,84.49,43,33,14.67,scattered clouds
301,zwedru,LR,6.0667,-8.1281,70.81,99,82,2.93,broken clouds
302,stokmarknes,NO,68.5646,14.9108,54.5,96,100,2.3,overcast clouds
303,lazaro cardenas,MX,17.9583,-102.2,81.93,75,100,4.32,overcast clouds
304,tezu,IN,27.9167,96.1667,88.52,60,100,3.76,overcast clouds
305,cocobeach,GA,1.0002,9.5823,73.33,90,100,7.18,moderate rain
306,port hardy,CA,50.6996,-127.4199,55.58,76,75,16.11,light rain
307,walvis bay,NA,-22.9575,14.5053,54.55,87,27,3.44,scattered clouds
308,marovoay,MG,-16.1,46.6333,68.14,65,24,2.68,few clouds
309,valdez,EC,1.2492,-78.9831,78.57,84,100,6.76,overcast clouds
310,norman wells,CA,65.282,-126.8329,59.04,63,90,6.91,light rain
311,skeldon,GY,5.8833,-57.1333,74.86,92,81,5.14,broken clouds
312,kropotkin,RU,45.4375,40.5756,64.94,82,7,2.55,clear sky
313,douglas,US,41.3,-96.167,78.1,63,90,1.01,overcast clouds
314,torbay,CA,47.6666,-52.7314,44.76,90,90,8.05,overcast clouds
315,nortelandia,BR,-14.4547,-56.8028,69.24,93,99,3.44,overcast clouds
316,panaba,MX,21.2833,-88.2667,76.91,88,100,3.71,overcast clouds
317,victoria,HK,22.2855,114.1577,82.96,92,100,8.99,overcast clouds
318,kyshtovka,RU,56.555,76.6271,62.22,51,19,6.53,few clouds
319,pochutla,MX,15.7432,-96.4661,73.81,95,100,4.65,overcast clouds
320,victor harbor,AU,-35.5667,138.6167,61.0,64,100,2.77,overcast clouds
321,cabo san lucas,MX,22.8909,-109.9124,84.81,68,0,6.31,clear sky
322,eureka,US,40.8021,-124.1637,61.41,94,100,6.08,overcast clouds
323,praia da vitoria,PT,38.7333,-27.0667,68.25,83,40,0.29,scattered clouds
324,algiers,DZ,36.7525,3.042,66.02,64,0,6.91,clear sky
325,sabha,LY,27.0377,14.4283,72.97,42,0,11.99,clear sky
326,te anau,NZ,-45.4167,167.7167,52.88,86,94,0.56,overcast clouds
327,palmares do sul,BR,-30.2578,-50.5097,51.62,66,71,10.33,broken clouds
328,la plata,AR,-34.9215,-57.9545,56.97,57,78,10.69,broken clouds
329,natal,BR,-5.795,-35.2094,75.42,83,20,5.75,few clouds
330,tobane,BW,-21.95,27.9,49.14,72,0,0.27,clear sky
331,ambovombe,MG,-25.1667,46.0833,63.55,74,7,4.27,clear sky
332,odweyne,SO,9.4092,45.064,73.69,51,98,19.69,overcast clouds
333,pandan,PH,14.0453,124.1694,84.6,72,100,5.93,heavy intensity rain
334,campbell river,CA,50.0163,-125.2446,53.6,92,90,1.01,overcast clouds
335,lagunas,PE,-5.2269,-75.6753,71.89,98,22,1.74,few clouds
336,pangody,RU,65.85,74.4859,56.32,77,100,17.43,overcast clouds
337,luba,GQ,3.4568,8.5547,78.62,85,100,2.28,moderate rain
338,maltahohe,NA,-24.8333,16.9833,53.06,39,33,7.87,scattered clouds
339,beira,MZ,-19.8436,34.8389,60.89,100,20,7.0,few clouds
340,nanortalik,GL,60.1432,-45.2371,36.97,91,100,3.78,overcast clouds
